run_date,repo_name,rank,category,category_confidence,discovery_score,quality_score,noise_score,score,future_growth,human_label,html_url,description,primary_language,topics,stargazers_count,forks_count,open_issues_count,category_reason
2026-05-17,adem4321/wa_image,29,uncategorized,0.000,18.649,0.000,3.250,85.6965,12.0,,https://github.com/adem4321/wa_image,,,,0,0,1,no strong category keywords
2026-05-17,jeong-sik/masc-mcp,30,developer_tools,0.349,28.795,7.755,2.250,84.1275,11.0,,https://github.com/jeong-sik/masc-mcp,MASC - Multi-Agent Streaming Coordination in OCaml,OCaml,,4,1,73,"matched: cli, sdk, tool, build, tui"
2026-05-17,Andrejewild/myvpn,31,uncategorized,0.000,24.522,3.631,2.250,82.0373,2.6,,https://github.com/Andrejewild/myvpn,Storage for VPN configurations,,,4,0,0,no strong category keywords
2026-05-17,mengtahsu/travel-planner,32,uncategorized,0.000,22.090,1.200,2.250,82.0241,13.0,,https://github.com/mengtahsu/travel-planner,AI-powered romantic travel planner with daily itineraries,HTML,,0,0,0,no strong category keywords
2026-05-17,sohanahamad0066-ctrl/temp,33,personal_content_noise,0.594,14.457,0.000,4.750,79.5292,0.0,,https://github.com/sohanahamad0066-ctrl/temp,,,,0,0,0,noise indicators: temp
2026-05-17,furry-chat-logs/furry-chat-logs.github.io,34,personal_content_noise,1.000,3.106,0.000,9.250,78.186,5.6,,https://github.com/furry-chat-logs/furry-chat-logs.github.io,,HTML,,0,0,0,noise indicators: github.io
2026-05-17,jasonlaw8/obsidian-library,35,personal_content_noise,0.781,10.519,0.000,6.250,77.0497,0.2,,https://github.com/jasonlaw8/obsidian-library,,HTML,,0,1,0,"noise indicators: scratch, pages"
2026-05-17,Forgingalex/silent-btc-ops,36,automation_bots_scrapers,0.417,27.105,7.318,2.500,75.6679,13.2,,https://github.com/Forgingalex/silent-btc-ops,Operational logs for the silentBTC protocol. This repository stores system heartbeats plus automated maintenance reports.,,automation;bitcoin-defi;sbtc;stacks;telemetry,2,0,0,matched: automation
2026-05-17,anitakny/rimbara-frontend-react,37,apps_products,0.459,15.299,0.000,4.250,74.2448,10.9,,https://github.com/anitakny/rimbara-frontend-react,,JavaScript,,0,0,0,"matched: frontend, react, dashboard, backend"
2026-05-17,pablojorgeandres/pablojorgeandres.github.io,38,personal_content_noise,1.000,5.259,0.000,8.250,73.7433,10.4,,https://github.com/pablojorgeandres/pablojorgeandres.github.io,Tienda chat nimu,HTML,,0,0,0,"noise indicators: github.io, pages"
2026-05-17,edukadoj/download_to_repo_from_link,39,uncategorized,0.000,24.407,4.156,2.250,73.6414,0.0,,https://github.com/edukadoj/download_to_repo_from_link,I was trying to find a way to download the file from links to directly my repo in chunks. When is it useful? in harsh internet censorship.,Python,,1,1,2,no strong category keywords
2026-05-17,tomevault-io/copilot-plugins,40,ai_ml_data,0.536,23.321,3.156,2.250,72.5768,12.8,,https://github.com/tomevault-io/copilot-plugins,AI instruction files for VS Code / GitHub Copilot — custom marketplace,,,1,1,1,"matched: ai, agent"
2026-05-17,Vecens/Signal-Permafrost,41,apps_products,0.385,22.377,2.324,2.250,71.2153,23.1,,https://github.com/Vecens/Signal-Permafrost,"The Semantic Strata, The Human semantic deposition layer",,,0,1,0,matched: web
2026-05-17,openclaw/openclaw,42,ai_ml_data,0.625,39.273,16.750,1.250,70.8599,30.8,,https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,ai;assistant;crustacean;molty;openclaw;own-your-data;personal,372778,77293,7016,"matched: ai, assistant, openai"
2026-05-17,ssg-create/ssg-dashboard-data,43,datasets_research,0.523,21.698,1.700,2.250,70.5604,9.3,,https://github.com/ssg-create/ssg-dashboard-data,Data snapshots for GW Command Center. DO NOT CONNECT TO VERCEL — would re-introduce quota exhaustion.,,,0,0,0,matched: data
2026-05-17,SoliSpirit/v2ray-configs,44,uncategorized,0.000,29.692,9.700,2.250,70.4884,9.9,,https://github.com/SoliSpirit/v2ray-configs,"V2Ray configs for multiple protocols and countries, updated every 15 minutes for fast, secure connections!",,,527,69,3,no strong category keywords
2026-05-17,etsy-images/2026_05_16_19_38,45,uncategorized,0.000,21.642,1.700,2.250,69.8923,0.0,,https://github.com/etsy-images/2026_05_16_19_38,Auto-created image batch repo for Temu shower curtain images.,,,0,0,0,no strong category keywords
2026-05-17,xiaoandy1974g/gdl,46,uncategorized,0.000,17.415,0.000,3.250,69.5791,10.2,,https://github.com/xiaoandy1974g/gdl,,,,0,0,0,no strong category keywords
2026-05-17,broryda/broryda.github.io,47,personal_content_noise,1.000,4.843,0.000,8.250,68.7327,18.5,,https://github.com/broryda/broryda.github.io,,HTML,,0,0,0,noise indicators: github.io
2026-05-17,sci-umaumabaken30/keiba-target-v1,48,uncategorized,0.000,20.944,1.200,2.250,67.591,31.7,,https://github.com/sci-umaumabaken30/keiba-target-v1,競馬TARGET JVデータ活用版 散布図アプリ,HTML,,0,0,0,no strong category keywords
2026-05-17,Noppitlabs/Mesh-data,49,datasets_research,0.885,18.117,0.900,3.250,67.2835,10.3,,https://github.com/Noppitlabs/Mesh-data,"Live data from the Noppitlabs Meshtastic LoRa node (APEX), located in Devon, UK.",,,0,0,0,matched: data
2026-05-17,leandrohstein/transporteservico-urbs-data,50,datasets_research,1.000,23.012,3.324,2.250,66.9582,15.8,,https://github.com/leandrohstein/transporteservico-urbs-data,Repositório para armazenamento de exemplos de JSON do serviço da URBS,,,0,1,1,matched: data
